Estacao,N. Lab.,Long (X),Lat (Y),Laboratorio,Cod analise,Tipo de amostra,As (PPM),Bi (PPM)
LR-0012,CCG 669,-54.7153,-7.835806,Acme,ICP14B/1F04,Sed. Cor.,1.3,0.09
LR-0013,CCG 670,-54.19,-7.832503,Acme,ICP14B/1F04,Sed. Cor.,0.9,0.08
LR-0014,CCG 671,-55.0238,-7.832984,Acme,ICP14B/1F04,Sed. Cor.,1,0.1
LR-0015,CCG 672,-54.4517,-7.836043,Acme,ICP14B/1F04,Sed. Cor.,1.8,0.09
LR-0016,CCG 673,-54.4152,-7.830126,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.31
LR-0017,CCG 674,-54.6212,-7.831365,Acme,ICP14B/1F04,Sed. Cor.,0.6,0.08
LR-0018,CCG 675,-54.7969,-7.830555,Acme,ICP14B/1F04,Sed. Cor.,1.9,0.28
LR-0019,CCG 676,-53.9985,-7.82795,Acme,ICP14B/1F04,Sed. Cor.,0.6,0.51
LR-0020A,CCG 677,-54.2804,-7.82812,Acme,ICP14B/1F04,Sed. Cor.,1.7,0.64
LR-0020B,CCH149,-54.2804,-7.82812,Acme,ICP14B/1F04,Sed. Cor.,0.5,0.56
LR-0021,CCG 678,-54.2896,-7.826979,Acme,ICP14B/1F04,Sed. Cor.,2.8,1.59
LR-0022,CCG 679,-54.3888,-7.828355,Acme,ICP14B/1F04,Sed. Cor.,0.9,0.28
LR-0023,CCG 680,-54.5295,-7.82044,Acme,ICP14B/1F04,Sed. Cor.,2.1,0.37
LR-0024,CCG 681,-55.0107,-7.820459,Acme,ICP14B/1F04,Sed. Cor.,1.9,0.42
LR-0025,CCG 682,-55.1648,-7.824827,Acme,ICP14B/1F04,Sed. Cor.,1.4,0.83
LR-0026,CCG 683,-55.0844,-7.825483,Acme,ICP14B/1F04,Sed. Cor.,1.4,1.01
LR-0027,CCG 684,-55.1162,-7.826631,Acme,ICP14B/1F04,Sed. Cor.,4.3,0.22
LR-0028,CCG 685,-54.021,-7.820315,Acme,ICP14B/1F04,Sed. Cor.,11.5,0.27
LR-0030A,CCG 686,-55.1187,-7.817148,Acme,ICP14B/1F04,Sed. Cor.,0.3,0.3
LR-0030B,CCH150,-55.1187,-7.817148,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.42
LR-0031,CCG 687,-55.0062,-7.816657,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.13
LR-0032,CCG 688,-54.8121,-7.818898,Acme,ICP14B/1F04,Sed. Cor.,1.5,0.55
LR-0033,CCG 689,-54.799,-7.819426,Acme,ICP14B/1F04,Sed. Cor.,4.5,0.59
LR-0034,CCG 690,-54.4441,-7.817961,Acme,ICP14B/1F04,Sed. Cor.,1.7,0.21
LR-0035,CCG 691,-54.208,-7.819041,Acme,ICP14B/1F04,Sed. Cor.,5,0.29
LR-0036,CCG 692,-53.9997,-7.823677,Acme,ICP14B/1F04,Sed. Cor.,4.7,0.16
LR-0037,CCG 693,-53.5892,-7.822725,Acme,ICP14B/1F04,Sed. Cor.,27.5,0.23
LR-0038,CCG 694,-53.4964,-7.818531,Acme,ICP14B/1F04,Sed. Cor.,13.9,0.14
LR-0039,CCG 695,-53.1845,-7.816846,Acme,ICP14B/1F04,Sed. Cor.,4.8,0.11
LR-0040A,CCG 696,-53.2265,-7.816693,Acme,ICP14B/1F04,Sed. Cor.,12.7,0.12
LR-0040B,CCH151,-53.2265,-7.816693,Acme,ICP14B/1F04,Sed. Cor.,13.1,0.13
LR-0041,CCG 697,-53.1258,-7.820111,Acme,ICP14B/1F04,Sed. Cor.,19.3,0.12
LR-0042,CCG 698,-52.5778,-7.817808,Acme,ICP14B/1F04,Sed. Cor.,22.1,0.2
LR-0043,CCG 699,-54.7496,-7.815148,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.14
LR-0044,CCG 700,-54.9395,-7.812306,Acme,ICP14B/1F04,Sed. Cor.,0.9,0.2
LR-0045,CCG 701,-54.8612,-7.811048,Acme,ICP14B/1F04,Sed. Cor.,1,0.29
LR-0046,CCG 702,-54.9696,-7.807182,Acme,ICP14B/1F04,Sed. Cor.,2.7,1.33
LR-0047,CCG 703,-54.4025,-7.799781,Acme,ICP14B/1F04,Sed. Cor.,3.3,4.21
LR-0048,CCG 704,-54.4764,-7.800496,Acme,ICP14B/1F04,Sed. Cor.,2.9,0.77
LR-0049,CCG 705,-54.8499,-7.7997,Acme,ICP14B/1F04,Sed. Cor.,3.1,0.75
LR-0050A,CCG 706,-53.1984,-7.817233,Acme,ICP14B/1F04,Sed. Cor.,4.7,0.11
LR-0050B,CCH152,-53.1984,-7.817233,Acme,ICP14B/1F04,Sed. Cor.,5.1,0.11
LR-0051,CCG 707,-53.0635,-7.819996,Acme,ICP14B/1F04,Sed. Cor.,9.1,0.11
LR-0052,CCG 708,-52.5583,-7.818165,Acme,ICP14B/1F04,Sed. Cor.,25.1,0.28
LR-0053,CCG 709,-52.5688,-7.818218,Acme,ICP14B/1F04,Sed. Cor.,29.6,0.2
LR-0054,CCG 710,-55.2097,-7.796112,Acme,ICP14B/1F04,Sed. Cor.,1.1,0.38
LR-0055,CCG 711,-54.8777,-7.795821,Acme,ICP14B/1F04,Sed. Cor.,0.6,0.57
LR-0056,CCG 712,-55.1442,-7.789993,Acme,ICP14B/1F04,Sed. Cor.,0.2,0.58
LR-0057,CCG 713,-55.1495,-7.789779,Acme,ICP14B/1F04,Sed. Cor.,1,0.54
LR-0058,CCG 714,-54.6635,-7.797223,Acme,ICP14B/1F04,Sed. Cor.,0.7,1
LR-0059,CCG 715,-54.1026,-7.798841,Acme,ICP14B/1F04,Sed. Cor.,0.3,0.1
LR-0060A,CCG 716,-54.2963,-7.797114,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.11
LR-0060B,CCH153,-54.2963,-7.797114,Acme,ICP14B/1F04,Sed. Cor.,0.2,0.11
LR-0061,CCG 717,-54.4318,-7.795392,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.14
LR-0062,CCG 718,-54.0851,-7.791066,Acme,ICP14B/1F04,Sed. Cor.,0.3,0.05
LR-0063,CCG 719,-54.2281,-7.789188,Acme,ICP14B/1F04,Sed. Cor.,1,0.1
LR-0064,CCG 720,-53.8176,-7.791604,Acme,ICP14B/1F04,Sed. Cor.,1,0.05
LR-0065,CCG 721,-53.9085,-7.800642,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.3
LR-0066,CCG 722,-53.8634,-7.800733,Acme,ICP14B/1F04,Sed. Cor.,0.6,0.09
LR-0067,CCG 723,-53.7381,-7.801304,Acme,ICP14B/1F04,Sed. Cor.,1.4,0.16
LR-0068,CCG 724,-54.4408,-7.813633,Acme,ICP14B/1F04,Sed. Cor.,1.7,0.52
LR-0069,CCG 725,-54.5614,-7.810492,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.67
LR-0070A,CCG 726,-53.5029,-7.803305,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.18
LR-0070B,CCH154,-53.5029,-7.803305,Acme,ICP14B/1F04,Sed. Cor.,<0.1,0.16
LR-0071,CCG 727,-53.4288,-7.804697,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.1
LR-0072,CCG 728,-53.3008,-7.807478,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.3
LR-0073,CCG 729,-53.2622,-7.808076,Acme,ICP14B/1F04,Sed. Cor.,0.4,0.42
LR-0075,CCG 730,-52.8872,-7.809652,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.28
LR-0076,CCG 731,-52.6461,-7.802894,Acme,ICP14B/1F04,Sed. Cor.,2.1,0.17
LR-0077,CCG 732,-52.6263,-7.801717,Acme,ICP14B/1F04,Sed. Cor.,0.9,0.09
LR-0078,CCG 733,-52.9295,-7.801085,Acme,ICP14B/1F04,Sed. Cor.,1.3,0.18
LR-0079,CCG 734,-52.7859,-7.801525,Acme,ICP14B/1F04,Sed. Cor.,0.2,0.05
LR-0080A,CCG 735,-52.9295,-7.801087,Acme,ICP14B/1F04,Sed. Cor.,1,0.1
LR-0080B,CCH155,-52.9295,-7.801087,Acme,ICP14B/1F04,Sed. Cor.,1.4,0.11
LR-0081,CCG 736,-53.0548,-7.80032,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.09
LR-0082,CCG 737,-53.0456,-7.799552,Acme,ICP14B/1F04,Sed. Cor.,1,0.11
