,Estacao,N. Lab.,Long (X) 4326,Lat (Y) 4326,Laboratorio,Cod análise,Tipo de amostra,As (PPM),Bi (PPM)
234,LR-0084,CCG 739,-44.69062152,-19.91040006,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.05
235,MC-0001,CCG 740,-44.99887351,-19.77933662,Acme,ICP14B/1F04,Sed. Cor.,4.5,0.15
236,MC-0002,CCG 741,-44.95503798,-19.77189359,Acme,ICP14B/1F04,Sed. Cor.,1,0.13
237,MC-0003,CCG 742,-44.95231988,-19.79547921,Acme,ICP14B/1F04,Sed. Cor.,1.2,0.09
238,MC-0004,CCG 743,-44.93073091,-19.75620677,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.21
239,MC-0005,CCG 744,-44.95172631,-19.80089215,Acme,ICP14B/1F04,Sed. Cor.,1,0.24
240,MC-0006,CCG 745,-44.96440931,-19.82798768,Acme,ICP14B/1F04,Sed. Cor.,0.6,0.14
241,MC-0007,CCG 746,-44.95119576,-19.81864947,Acme,ICP14B/1F04,Sed. Cor.,1.1,0.14
242,MC-0008,CCG 747,-44.9337574,-19.84684788,Acme,ICP14B/1F04,Sed. Cor.,1.1,0.19
243,MC-0009,CCG 748,-44.9160306,-19.79418261,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.15
244,MC-0010A,CCG 749,-44.92476475,-19.77752246,Acme,ICP14B/1F04,Sed. Cor.,1,0.15
245,MC-0010B,CCH156,-44.92476475,-19.77752246,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.14
246,MC-0011,CCG 750,-44.9819292,-19.94132089,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.07
247,MC-0012,CCG 751,-44.97066485,-19.97987007,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.12
248,MC-0013,CCG 752,-44.9500121,-19.96957263,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.04
249,MC-0014,CCG 753,-44.94467901,-19.91404026,Acme,ICP14B/1F04,Sed. Cor.,1.2,0.11
250,MC-0015,CCG 754,-44.94980198,-19.9085926,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.07
251,MC-0016,CCG 755,-44.87867739,-19.91230857,Acme,ICP14B/1F04,Sed. Cor.,0.3,0.06
252,MC-0017,CCG 756,-44.90618187,-19.91706047,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.02
253,MC-0018,CCG 757,-44.89207715,-19.91988097,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.02
254,MC-0019,CCG 758,-44.99198607,-19.86712058,Acme,ICP14B/1F04,Sed. Cor.,1.1,0.12
255,MC-0020A,CCG 759,-44.95953947,-19.86424246,Acme,ICP14B/1F04,Sed. Cor.,1.8,0.16
256,MC-0020B,CCH157,-44.95953947,-19.86424246,Acme,ICP14B/1F04,Sed. Cor.,2,0.19
257,MC-0021,CCG 760,-44.94473069,-19.87527243,Acme,ICP14B/1F04,Sed. Cor.,1.8,0.19
258,MC-0022,CCG 761,-44.93434163,-19.88925788,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.08
259,MC-0023,CCG 762,-44.88888274,-19.88320777,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.06
260,MC-0024,CCG 763,-44.86557206,-19.9083049,Acme,ICP14B/1F04,Sed. Cor.,0.2,0.09
261,MC-0025,CCG 764,-44.92117054,-19.98031585,Acme,ICP14B/1F04,Sed. Cor.,0.9,0.05
262,MC-0026,CCG 765,-44.9313844,-19.96803017,Acme,ICP14B/1F04,Sed. Cor.,0.3,0.06
263,MC-0027,CCG 766,-44.90523576,-19.94943863,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.02
264,MC-0028,CCG 767,-44.90440336,-19.99859786,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.08
265,MC-0029,CCG 768,-44.89542378,-19.98876991,Acme,ICP14B/1F04,Sed. Cor.,4,0.08
266,MC-0030A,CCG 769,-44.87803301,-19.95516939,Acme,ICP14B/1F04,Sed. Cor.,2.7,0.28
